"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021885","GO:0021885","forebrain cell migration","2/16","73/28928",0.0273972602739726,49.5342465753425,9.76723876663369,0.000736663241126139,0.0143894886433306,0.00646195825549245,"Cntn2/Reln",2
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","3/16","372/28928",0.00806451612903226,14.5806451612903,6.20177215544063,0.00104308905143282,0.019717747875472,0.008854745767681,"Zic2/Reln/Neurod1",3
"GO:0048814","GO:0048814","regulation of dendrite morphogenesis","2/16","100/28928",0.02,36.16,8.28541433177154,0.00137552779491966,0.0241958043592639,0.0108657285608335,"Chrna3/Reln",2
"GO:0021766","GO:0021766","hippocampus development","2/16","102/28928",0.0196078431372549,35.4509803921569,8.19940052993576,0.00143046034141895,0.0241958043592639,0.0108657285608335,"Reln/Neurod1",2
"GO:0042063","GO:0042063","gliogenesis","3/16","417/28928",0.00719424460431655,13.0071942446043,5.80999769879837,0.0014483712329667,0.0241958043592639,0.0108657285608335,"Cntn2/Reln/Prdm8",3
"GO:0021700","GO:0021700","developmental maturation","3/16","418/28928",0.00717703349282297,12.9760765550239,5.80198654393492,0.00145834872695326,0.0241958043592639,0.0108657285608335,"Srrm4/Cntn2/Reln",3
"GO:0003407","GO:0003407","neural retina development","2/16","104/28928",0.0192307692307692,34.7692307692308,8.11583734656763,0.00148643166712202,0.0241958043592639,0.0108657285608335,"Lhx1/Neurod1",2
"GO:0051899","GO:0051899","membrane depolarization","2/16","110/28928",0.0181818181818182,32.8727272727273,7.87873098861808,0.00166055760174887,0.0260690086135767,0.0117069375846851,"Chrna3/Cacna2d1",2
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","2/16","111/28928",0.018018018018018,32.5765765765766,7.84105989288064,0.00169048178722852,0.0260690086135767,0.0117069375846851,"Sv2b/Chrna3",2
"GO:0021510","GO:0021510","spinal cord development","2/16","116/28928",0.0172413793103448,31.1724137931034,7.65993295136547,0.00184395808415772,0.0277066522388827,0.0124423622412802,"Reln/Lhx1",2
"GO:0035282","GO:0035282","segmentation","2/16","118/28928",0.0169491525423729,30.6440677966102,7.59066445470687,0.00190714297334634,0.0279396445595239,0.0125469932456996,"Zic2/Lhx1",2
"GO:0060079","GO:0060079","excitatory postsynaptic potential","2/16","121/28928",0.0165289256198347,29.8842975206612,7.48993588569669,0.00200383642765329,0.0286401986976787,0.0128615945292252,"Chrna3/Reln",2
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","2/16","128/28928",0.015625,28.25,7.2685514526714,0.00223836054027633,0.0312304589667126,0.0140248154152652,"Reln/Slc17a6",2
"GO:0007498","GO:0007498","mesoderm development","2/16","130/28928",0.0153846153846154,27.8153846153846,7.20853753949535,0.00230764836263092,0.0314484172209703,0.0141226949977413,"Zic2/Lhx1",2
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","2/16","132/28928",0.0151515151515152,27.3939393939394,7.14986299221005,0.00237794619595137,0.0316603349817863,0.0142178619461947,"Sv2b/Chrna3",2
"GO:0048709","GO:0048709","oligodendrocyte differentiation","2/16","135/28928",0.0148148148148148,26.7851851851852,7.06425393054645,0.00248528226819483,0.0316603349817863,0.0142178619461947,"Cntn2/Prdm8",2
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","2/16","135/28928",0.0148148148148148,26.7851851851852,7.06425393054645,0.00248528226819483,0.0316603349817863,0.0142178619461947,"Chrna3/Reln",2
"GO:0021549","GO:0021549","cerebellum development","2/16","139/28928",0.0143884892086331,26.0143884892086,6.95435124988757,0.00263191311026164,0.0328149166513472,0.0147363556005691,"Lhx1/Neurod1",2
"GO:0050773","GO:0050773","regulation of dendrite development","2/16","146/28928",0.0136986301369863,24.7671232876712,6.77275216825911,0.00289814084294677,0.0351261460554905,0.0157742707272725,"Chrna3/Reln",2
"GO:0021782","GO:0021782","glial cell development","2/16","147/28928",0.0136054421768707,24.5986394557823,6.74784835734835,0.00293716920941814,0.0351261460554905,0.0157742707272725,"Cntn2/Prdm8",2
"GO:0022037","GO:0022037","metencephalon development","2/16","153/28928",0.0130718954248366,23.6339869281046,6.60346273733708,0.0031765428771975,0.0372290825207547,0.0167186467220921,"Lhx1/Neurod1",2
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","2/16","166/28928",0.0120481927710843,21.7831325301205,6.31725098202653,0.00372558099515509,0.0424796567553032,0.0190765478513127,"Chrna3/Reln",2
"GO:0008037","GO:0008037","cell recognition","2/16","167/28928",0.0119760479041916,21.6526946107784,6.29659252208793,0.00376952585541939,0.0424796567553032,0.0190765478513127,"Cntn2/Celsr3",2
"GO:0007269","GO:0007269","neurotransmitter secretion","2/16","182/28928",0.010989010989011,19.8681318681319,6.00687379848739,0.00445774520352079,0.0470302466344208,0.0211201035721308,"Sv2b/Chrna3",2
"GO:0099643","GO:0099643","signal release from synapse","2/16","182/28928",0.010989010989011,19.8681318681319,6.00687379848739,0.00445774520352079,0.0470302466344208,0.0211201035721308,"Sv2b/Chrna3",2
"GO:0048813","GO:0048813","dendrite morphogenesis","2/16","194/28928",0.0103092783505155,18.639175257732,5.7990081357121,0.00504716100691022,0.0470302466344208,0.0211201035721308,"Chrna3/Reln",2
"GO:0030534","GO:0030534","adult behavior","2/16","198/28928",0.0101010101010101,18.2626262626263,5.73382285992027,0.00525122411589063,0.0470302466344208,0.0211201035721308,"Chrna3/Cntn2",2
"GO:0002023","GO:0002023","reduction of food intake in response to dietary excess","1/16","10/28928",0.1,180.8,13.3775992647123,0.00551808378994945,0.0470302466344208,0.0211201035721308,"Cntn2",1
